puesto,empresa,valoracion_empresa,ciudad,pais,tipo_contrato,salario,exp_minima,url
Big Data Engineer - Cloudera Hadoop,SERBATIC,85.0,Alcobendas,España,"Indefinido, jornada completa",33.000€ - 44.000€ bruto/año,Al menos 3 años,https://www.infojobs.net/alcobendas/big-data-engineer-cloudera-hadoop/of-ib86254ebf249658892dbd8efd41359?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Data & Iot Engineer,Empresa en fase de expansión,,Zaragoza,España,"Otros contratos, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/zaragoza/data-iot-engineer/of-ibb5acb27a3486aa720146d617adf05?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Big Data Engineer - Streaming  (100% REMOTO),UST España,,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/big-data-engineer-streaming-100-remoto/of-i539f0a012543cc93face075c2d55ca?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Operador/a Data Center Alcalá (Certificado discapacidad),TATA Consultancy Services,87.0,Alcalá De Henares,España,"Otros contratos, jornada completa",No disponible,No requerida,https://www.infojobs.net/alcala-de-henares/operador-data-center-alcala-certificado-discapacidad/of-i2f70d743da415c842ab961ef1956b2?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Técnico/a de Datos y Compensación,Eulen Flexiplan,88.0,Madrid,España,"De duración determinada, jornada completa",24.000€ - 30.000€ bruto/año,Al menos 3 años,https://www.infojobs.net/madrid/tecnico-datos-compensacion/of-ia1776432ae412bb649da89759c2638?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Data Engineer,SENTIENT SCIENCE SPAIN SL.,,Pamplona/Iruña,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/pamplona-iruna/data-engineer/of-i8c00c04b064d459da18ee329efb216?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Data Engineer / Ingeniero de Datos Jr-Madrid,COS Global Services,72.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/data-engineer-ingeniero-datos-jr-madrid/of-i1b746c076448acbc81ce038eee713f?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
INGENIERO/A BIG DATA,Soltel,70.0,Madrid,España,"Otros contratos, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/madrid/ingeniero-big-data/of-i8c1a0c6f4e4576bec11144b95c2d65?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Ingeniero/a de Datos,Experis IT,82.0,Madrid,España,"Indefinido, jornada completa",30.000€ - 36.000€ bruto/año,Al menos 2 años,https://www.infojobs.net/madrid/ingeniero-datos/of-i7f9ae2e4a74ca9bf118a31ca216576?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Data Science Freelance,GfK Retail and Technology España,84.0,Madrid,España,"Autónomo, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/data-science-freelance/of-ib38a06708b4b3da409a4a7b12bb951?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
"INGENIERO DE DATOS (H/M) (ETL, POWER AUTOMATE, POWER BI, MYSQL) - Proyecto temporal",Experis IT,82.0,Madrid,España,"De duración determinada, jornada completa",None,Al menos 2 años,https://www.infojobs.net/madrid/ingeniero-datos-h-m-etl-power-automate-power-bi-mysql-proyecto-temporal/of-i72b22eb7dd43398ec348b6a074e7ee?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
